causal_relationship,sentence
1,"['hypo 2 increased', 'node1', 'result increased', 'node2', 'decreasedvoluntaryemployeeturnovercontributionhighperformanceworksystem']"
1,"['hypo 1 predicted increased use', 'node1', 'would result increased', 'node2', 'decreasedvoluntaryemployeeturnover']"
1,"['result support hypothesis 2 predicted increased', 'node1', 'would result', 'node2', 'decreasedblemultipleregressionanalysislaborproductivityworkplaceinnovationemployeeturnoverlaborproductivityworkplaceinnovationemployeeturnovermodel1model2model3model4model5model6variablecontrolvariablecountryownershipagric/energy/const']"
0,"['thus hypothesized', 'node1', 'would high', 'node2']"
0,"['hypo 1', 'node1', 'higher', 'node2']"
0,"['hypo 3 general result indicated larger', 'node1', 'tend associated higher', 'node2']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 3', 'node1', 'positively related', 'node2']"
1,"['therefore hypothesis manufacturer implement increase node2 due', 'node1', 'node2', 'duenode1']"
0,"['hypo 4', 'node1', 'positively related', 'node2']"
1,"['hypo 5', 'node1', 'positive impact', 'node2']"
0,"['hypo 1 positive relationship', 'node1', 'node2']"
0,"['hypo 2 positive relationship', 'node1', 'node2']"
0,"['hypo 3 positive relationship', 'node1', 'node2']"
0,"['hypo 4', 'node1', 'well worth expenditure resource positively correlated', 'node2']"
0,"['hypo 1 suggested', 'node1', 'positively related', 'node2']"
1,"['hypo 2 postulated ﬁrms going iso 14001 certiﬁcation increase node2 due better', 'node1', 'node2', 'duebetternode1']"
1,"['hypo 3 third hypothesis research postulated ﬁrms going iso 14001 certiﬁcation would improve node2 due better', 'node1', 'node2', 'duebetternode1']"
0,"['hypo 4 suggested', 'node1', 'well worth expenditure resource positively correlated', 'node2']"
1,"['except production efﬁciency quality product supported hypothesis testing', 'node1', 'greatly improves', 'node2']"
0,"['hypo 1 positive relationship', 'node1', 'node2']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 2 positive relationship', 'node1', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 3 positive relationship', 'node1', 'node2']"
0,"['hypo 3', 'node1', 'positively related', 'node2']"
0,"['hypo 3', 'node1', 'positively related', 'node2']"
0,"['hypo 3', 'node1', 'positively related perceived', 'node2']"
1,"['finally', 'node1', 'hypothesized promote', 'node2']"
0,"['hypo 1', 'node1', 'experience higher', 'node2', 'subsidiarymismatch']"
0,"['hypo 2', 'node1', 'higher', 'node2', 'subsidiarymismatch']"
0,"['hypo 3', 'node1', 'higher', 'node2', 'subsidiarymismatch']"
0,"['hypo 4', 'node1', 'experience lower', 'node2', 'subsidiarymismatch']"
0,"['hypo 5', 'node1', 'achieve higher', 'node2', 'subsidiarymismatch']"
0,"['hypo 6', 'node1', 'experience higher', 'node2', 'subsidiarymismatch']"
0,"['hypo 7', 'node1', 'experience higher level', 'node2', 'sub-sidiariesmismatch']"
0,"['hypo 8', 'node1', 'achieve higher', 'node2', 'subsidiarymismatch']"
0,"['hypo 9', 'node1', 'node2', 'betterrelativecompetitorsubsidiarymismatch']"
0,"['hypo 4', 'node1', 'experienced substantially lower', 'node2', 'unmatchedcounterpart']"
0,"['hypo 6 stated', 'node1', 'would experience higher', 'node2', 'unnode1arosequestionwhetherweakfindingmightreflectpossibilitygrowthdirectlylinkbusinesshrmstrategyinfluencedbusinessstrategylogicprospectormightpossi-blyexperiencehigherlevelgrowthanalyzerdefender']"
0,"['hypo 1', 'node1', 'associated lower', 'node2']"
0,"['hypo 2', 'node1', 'associated lower', 'node2']"
0,"['hypo 3', 'node1', 'positively related', 'node2']"
0,"['hypo 4', 'node1', 'individually associated higher level', 'node2']"
0,"['hypo 4', 'node1', 'associated higher level', 'node2', 'simpleadditiveeffecthrpractice']"
0,"['hypo 5', 'node1', 'negatively related', 'node2', 'theoreticalargumentalsosuggestwhetherturnovermediatesrelationshiphrpracticeperformancemaydependuponcontingencydiscussed']"
1,"['hypo 5 node2 mediated', 'node1', 'node2', 'mediatednode1']"
0,"['hypo 1 organization make greater use', 'node1', 'significantly lower', 'node2']"
0,"['hypo 2', 'node1', 'significantly associated lower', 'node2']"
0,"['hypo 4', 'node1', 'significant positive association', 'node2', 'twoindexsignificant']"
1,"['one notable finding', 'node1', 'significant positive effect', 'node2', 'correspondshypothesisfindingperformance-enhancingpracticeindex']"
1,"['hypo 1', 'node1', 'mediates', 'node2']"
1,"['hypo 2', 'node1', 'mediates', 'node2']"
1,"['hypo 3', 'node1', 'mediates', 'node2']"
0,"['hypo 4 greater', 'node1', 'stronger', 'node2']"
0,"['hypo 4 greater', 'node1', 'weaker', 'node2']"
0,"['hypo 4 greater', 'node1', 'stronger', 'node2']"
0,"['hypo 5 greater', 'node1', 'stronger', 'node2']"
0,"['hypo 4 figure 2 show node2 stronger', 'node1', 'node2', 'strongernode1higheffectlenode1low']"
1,"['hypo 4 suggests', 'node1', 'reduces', 'node2', 'node1receivessupport']"
1,"['hypo 5 predicts moderating effect', 'node1', 'node2']"
0,"['author hypothesize', 'node1', 'represent critical subdimensions hr flexibility related superior', 'node2']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 3', 'node1', 'positively related', 'node2']"
0,"['hypo 4', 'node1', 'positively related', 'node2']"
0,"['hypo 4', 'node1', 'positively related', 'node2']"
0,"['hypo 4', 'node1', 'positively related', 'node2']"
0,"['hypo 1', 'node1', 'related', 'node2', 'supported']"
0,"['hypo 2 predicts', 'node1', 'positively related', 'node2']"
0,"['hypothesis 4a 4b 4c postulate', 'node1', 'positively related', 'node2', 'impliesgreaterflexibilityassociatedlowercost']"
0,"['although', 'node1', 'negatively related', 'node2', 'findsignificantsupporthypothesisrelationskillflexibility']"
0,"['testing hypothesis individual component firm financial performance index found', 'node1', 'positively associated', 'node2']"
0,"['hypo 1', 'node1', 'likely use', 'node2']"
0,"['hypo 2', 'node1', 'node2']"
0,"['hypo 3', 'node1', 'positively related', 'node2']"
0,"['hypo 5', 'node1', 'positively related', 'node2']"
0,"['hypo 6 presence', 'node1', 'positively related', 'node2']"
1,"['conclusion empirical analysis strongly support main hypothesis', 'node1', 'increase', 'node2']"
0,"['framework hypothesis', 'node1', 'eye stakeholder related', 'node2']"
0,"['hypo 1 positive relationship', 'node1', 'node2']"
0,"['hypo 2 firm', 'node1', 'better', 'node2']"
0,"['hypo 3 focus firm', 'node1', 'better', 'node2']"
0,"['hypo 5 better', 'node1', 'better', 'node2']"
0,"['hypo 7 greater', 'node1', 'worse', 'node2']"
0,"['hypo 8 greater', 'node1', 'better', 'node2']"
0,"['hypo 9', 'node1', 'firm better', 'node2']"
0,"['hypo 1 0 larger', 'node1', 'better', 'node2']"
1,"['hypo 1 1', 'node1', 'inﬂuences', 'node2']"
1,"['hypo 1 2 node2 partly determined nature', 'node1', 'node2', 'partlydeterminednaturenode1']"
1,"['hypo 1', 'node1', 'improves', 'node2']"
0,"['hypo 2 relationship', 'node1', 'node2', 'variesacrosssector']"
1,"['hypo 1 mixed positive node2 eﬀect', 'node1', 'node2', 'eﬀectnode1consumerservicesector']"
0,"['hypo 1 insignificant relationship', 'node1', 'time period', 'node2', 'timeperiodt.althoughconclusionconcernrelationshipnode2financialperformanceconclusionalsodrawnconcerningrelationshipnode2nonfinancialperformance']"
0,"['hypo 2 positive relationship', 'node1', 'time period', 'node2', 'timeperiodt.employeesatisfactionprofitequallymixedresultfoundconcerningrelationshipnode1profitmixedresultalsofoundconcerningrelationshipemployeesatisfactionprofit']"
0,"['hypo 3 insignificant relationship', 'node1', 'time period', 'node2', 'timeperiodt.customersatisfactionnode1relationshipcustomersatisfactionnode1onerelationshipseemyieldconflictingresult']"
0,"['hypo 4 positive relationship', 'node1', 'time period', 'node2', 'methodtimeperiodt.longitudinalviewpreviouslysuggestedconflictingrelationshipnode1performancenode2performancemayattributablefactstudycross-firmdatacollectedonepointtimeanalyzed']"
0,"['hypo 2', 'node1', 'node2', 'positivelyrelated']"
0,"['hypo 5 positive relationship', 'node1', 'previous time period', 'node2']"
1,"['hypo 2 apparently', 'node1', 'although influencing sale profit immediately affect', 'node2']"
0,"['hypo 5', 'node1', 'correlated', 'node2', 'timeseriesanalysisconducted']"
0,"['hypo 1 positive relationship', 'node1', 'node2']"
1,"['hypo 2', 'node1', 'moderate', 'node2', 'relationshipstrongersectorassociatedsalientsocialenvironmentalissue']"
1,"['hence hypothesize', 'node1', 'inﬂuences', 'node2']"
